
==================================================
==== Processing Statistics ====
==================================================
Model: Qwen/Qwen2.5-VL-32B-Instruct
Model load time: 234.09s
Model GPU memory: 146.41 GB

--- Video Load Times ---
Video Load 1: 0.38s
Video Load 2: 0.96s
Video Load 3: 1.17s
Video Load 4: 0.55s
Video Load 5: 5.30s
Video Load 6: 0.42s
Video Load 7: 0.45s
Video Load 8: 2.65s
Video Load 9: 2.54s
Video Load 10: 2.43s
Video Load 11: 2.24s
Video Load 12: 1.72s
Video Load 13: 2.13s
Video Load 14: 0.43s
Video Load 15: 1.09s
Video Load 16: 3.71s
Video Load 17: 2.30s
Video Load 18: 3.62s
Video Load 19: 3.03s
Video Load 20: 2.36s
Video Load 21: 1.78s
Video Load 22: 0.22s
Video Load 23: 3.41s
Video Load 24: 2.00s
Video Load 25: 1.63s
Video Load 26: 1.78s
Video Load 27: 3.19s
Video Load 28: 5.39s
Video Load 29: 4.00s
Video Load 30: 1.68s
Video Load 31: 1.84s
Video Load 32: 2.11s
Video Load 33: 3.81s
Video Load 34: 6.51s
Video Load 35: 1.98s
Video Load 36: 0.81s
Video Load 37: 3.32s
Video Load 38: 2.16s
Video Load 39: 2.04s
Video Load 40: 0.84s
Video Load 41: 0.90s
Video Load 42: 1.61s
Video Load 43: 4.06s
Video Load 44: 2.01s
Video Load 45: 0.69s
Video Load 46: 1.59s
Video Load 47: 2.67s
Video Load 48: 2.17s
Video Load 49: 1.20s
Video Load 50: 1.50s
Video Load 51: 1.22s
Video Load 52: 2.43s
Video Load 53: 0.57s
Video Load 54: 4.01s
Video Load 55: 1.07s
Video Load 56: 3.63s
Video Load 57: 0.59s
Video Load 58: 5.76s
Video Load 59: 0.76s
Video Load 60: 1.08s
Video Load 61: 4.35s
Video Load 62: 0.18s
Video Load 63: 1.55s
Video Load 64: 1.43s
Video Load 65: 4.36s
Video Load 66: 1.25s
Video Load 67: 2.40s
Video Load 68: 0.94s
Video Load 69: 1.41s
Video Load 70: 2.04s
Video Load 71: 1.01s
Video Load 72: 1.11s
Video Load 73: 4.35s
Video Load 74: 0.59s
Video Load 75: 2.53s
Video Load 76: 1.65s
Video Load 77: 2.08s
Video Load 78: 1.85s
Video Load 79: 1.65s
Video Load 80: 3.45s
Video Load 81: 2.18s
Video Load 82: 0.87s
Video Load 83: 2.68s
Video Load 84: 0.60s
Video Load 85: 0.52s
Video Load 86: 0.54s
Video Load 87: 2.99s
Video Load 88: 4.48s
Video Load 89: 2.99s
Video Load 90: 4.64s
Video Load 91: 3.21s
Video Load 92: 1.00s
Video Load 93: 1.32s
Video Load 94: 2.15s
Video Load 95: 5.91s
Video Load 96: 1.80s
Video Load 97: 2.50s
Video Load 98: 1.44s
Video Load 99: 1.25s
Video Load 100: 1.63s
Video Load 101: 1.86s
Video Load 102: 3.49s
Video Load 103: 4.33s
Video Load 104: 3.67s
Video Load 105: 2.77s
Video Load 106: 2.61s
Video Load 107: 0.50s
Video Load 108: 0.38s
Video Load 109: 1.49s
Video Load 110: 1.23s
Video Load 111: 3.69s
Video Load 112: 2.31s
Video Load 113: 3.50s
Video Load 114: 0.40s
Video Load 115: 4.92s
Video Load 116: 3.87s
Video Load 117: 0.43s
Video Load 118: 0.72s
Video Load 119: 2.22s
Video Load 120: 2.45s
Video Load 121: 1.12s
Video Load 122: 3.21s
Video Load 123: 2.74s
Video Load 124: 3.24s
Video Load 125: 0.89s
Video Load 126: 0.60s
Video Load 127: 2.74s
Video Load 128: 0.64s
Video Load 129: 0.69s
Video Load 130: 1.37s
Video Load 131: 3.12s
