video_id,summary,category,keywords,creator_demographic,sentiment,tone,threatening_content,self_harm
7285324334934035745,"The video features a person singing a song with a calm and soothing tone. The lyrics suggest a reflective mood, asking viewers to close their eyes and imagine someone walking outside. The background music is soft and melodic, complementing the singer's gentle voice. There are no visible public figures, politicians, or celebrities in the video. The setting appears to be indoors, with a focus on the singer who seems relaxed and engaged in delivering the song. The overall atmosphere is intimate and contemplative.","Music, Singing, & Dancing","Close your eyes, walking outside, calm, soothing, reflective, gentle voice, soft music, intimate, contemplative","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Neutral,Melancholic,No,
7374631394108181806,"The video appears to be a musical performance featuring a singer delivering lyrics about cleaning and tidying up a space thoroughly. The lyrics suggest a sense of urgency and thoroughness, emphasizing actions like clearing drawers, mopping floors, and standing tall as if no one has been there before. There is a playful tone, indicated by the mention of not mentioning 'all the inches that are scraped on the doorframe,' which adds a humorous touch to the otherwise meticulous cleaning instructions. The background music complements the upbeat and energetic delivery of the song, creating a lively and engaging atmosphere.","Music, Singing, & Dancing","clean, house, clear, drawers, mop, floors, stand tall, doorframe, inches, scraped","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Positive,Enthusiastic,No,
7273897683918621994,"The video features a romantic and affectionate scene where two individuals are expressing their love and commitment to each other. The male speaker, identified as 'McCarthy,' is seen addressing his partner, expressing readiness to go wherever she wants and emphasizing her unique qualities. He highlights how she makes him smile and reassures her that she is all he needs. The setting appears intimate, with soft lighting and a focus on the couple's interaction, conveying a strong sense of connection and devotion.",Entertainment & Shows,"love, romance, commitment, partnership, affection, unique, smile, ready, all you need","Age Range: Unknown, Gender: Unknown, Geographic Location: Unknown",Positive,Cheerful,No,
7374137745364602155,"The video features a person speaking directly to the camera, delivering a piece of advice or statement. The text overlay reads 'Mom: ""Date someone who wants you.""' The speaker appears to be addressing the audience with a personal or parental perspective, emphasizing the importance of self-worth and choosing partners wisely. The tone is reflective and somewhat serious, suggesting a focus on emotional well-being and relationships. There is no visible background or additional context provided beyond the speaker and the text overlay.",Relationship,"Mom, dating advice, self-worth, partner choice, relationship advice","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Neutral,Neutral,No,
7368846954471640362,"The video discusses the issue of solidarity among oppressed groups, particularly focusing on the intersectionality of activism. It critiques individuals, specifically mentioning Dylan Mulvaney, who are perceived as prioritizing their own narrow interests over broader solidarity movements, such as supporting Palestinian liberation. The speaker emphasizes the importance of understanding how different forms of oppression intersect and argues that true activism requires standing in solidarity with all oppressed groups, not just those aligned with one's own identity or privilege. The video also addresses class dynamics, highlighting how some influencers prioritize financial gain over genuine activism, abandoning their followers once they achieve success. The speaker calls for viewers to hold influencers accountable and to support those who genuinely advocate for collective liberation.",Nonprofits & Activism,"solidarity, intersectionality, Dylan Mulvaney, trans rights, Palestinian liberation, activism, class, influencers, working class, oppression, liberation, activism vs. influence, fame, money","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Negative,Anger,No,
7362611852360174881,"The video appears to be a musical piece featuring a song with lyrics in Russian. The lyrics express themes of love, doubt, and emotional turmoil. The phrase 'Что любовь была перестрелкой душ' translates to 'That love was a shootout of souls,' indicating a dramatic and intense emotional conflict. The singer expresses feelings of disillusionment ('я тебе не верю') and mentions a dream from the previous night ('ты сон вчерашний') that foretold tears ('который мне пророчил слезы'). The overall tone suggests a personal and introspective narrative, likely accompanied by a musical arrangement that complements the emotional depth of the lyrics.","Music, Singing, & Dancing","love, doubt, emotional conflict, dreams, tears, Russian lyrics, musical performance","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Negative,Melancholic,,No
7388205937036725537,"The video appears to be a humorous or satirical take on attempting to activate a 'Supacell power,' likely referencing the mobile game 'Clash of Clans.' The speaker humorously narrates their struggle, mentioning that their power is 'on the up block' but they cannot see any 'ups.' They also mention 'six-a-pussy-os,' which could be a playful or exaggerated reference to characters or elements within the game. The overall tone suggests a light-hearted and comedic approach to gaming culture.",Comedy,"Supacell power, Clash of Clans, up block, six-a-pussy-os, gaming, humor, attempt, activation","Age Range: Unknown, Gender: Unknown, Geographic Location: Unknown",Positive,Cheerful,No,
7349908267742743854,"The video discusses how Donald Trump's recent statement on Truth Social undermined his legal team's efforts to defend him against charges related to election interference. The speaker criticizes Trump for contradicting himself regarding presidential immunity, stating that he initially argued for immunity but later claimed that presidents do not have immunity. The video highlights the challenges faced by Trump's legal team due to his contradictory statements, particularly concerning the $454 million bond requirement. The speaker concludes by labeling Trump as both the worst president and the worst client in legal defense history.",Politics,"Donald Trump, Presidential immunity, Truth Social, Jack Smith, prosecution, legal team, election interference, Joe Biden, legal scholars, bond, cash, legal defense",Unknown,Negative,Anger,No,
7108772250320473349,"The video provides a list of five unique activities for visitors to the Greek island of Paros. It includes dining in the traditional village of Lefkest, hiking along the Byzantine road to Prodromos, enjoying a natural mud mask at Kalogero beach, visiting the secluded nudist beach of Laggeri, exploring the Paros Butterflies Nature Reserve, and driving by the picturesque church of Agios Fokas. The speaker encourages viewers to suggest more activities for a potential Part 2 and promotes daily Greece travel tips.",Travel & Events,"Paros, Greek island, out-of-the-box activities, Lefkest, Byzantine road, Prodromos, Kalogero beach, natural mud mask, Laggeri beach, nudist beach, Paros Butterflies Nature Reserve, Agios Fokas, travel tips","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Positive,Enthusiastic,No,
7389277272009690401,"The video appears to be a news segment discussing the arrival of migrants at a port after an election. The text overlay indicates that this is the first group of migrants brought ashore since the election. The video includes footage of a ship docked at a port, with individuals standing on the deck. The voice-over consists of repeated 'you' sounds, which may indicate a placeholder or an incomplete recording. The setting suggests a formal or official event, possibly involving immigration or border control procedures.","News, Politics","migrants, election, first, brought ashore, ship, port, immigration, border control","Age Range: Unknown, Gender: Unknown, Geographic Location: Unknown",Neutral,Neutral,No,
7346042702347406638,"The video follows a man recounting his experience of meeting an amazing girl named Anya at an airport last year, who lives in Berlin. He expresses his excitement about visiting her soon, especially since he was invited to go dog sledding in the Arctic Circle near Finland. To prepare for the trip, he gets a haircut at a Vietnamese salon and tries on clothes with the help of his best friend Anya. Despite initially considering dressing up, he decides to stay true to himself and heads to Berlin.",Entertainment & Shows,"Anya, Berlin, Arctic Circle, Finland, Vietnam, haircut, clothes, backpack, Audible, dog sledding, travel, friendship","Age: Unknown, Gender: Male, Geographic Location: Unknown",Positive,Cheerful,No,
7362203819721166123,"The video features a series of messages of support directed towards students participating in pro-Palestinian protests at various college campuses. The messages express gratitude, respect, and love for the students, acknowledging their efforts and solidarity with the children in Gaza. The video includes text overlays highlighting the involvement of students from universities like Harvard and Columbia, emphasizing the widespread nature of these protests and the international support they are receiving.",Nonprofits & Activism,"Pro-Palestinian, protests, college campuses, Harvard University, Columbia University, students, Gaza, support, respect, love, message","Age Range: Unknown, Gender: Unknown, Geographic Location: Unknown",Positive,Cheerful,No,
7386720277557742880,"The video appears to be a closing segment of a video, likely from a creator thanking viewers for watching. The speaker expresses gratitude in both English and Indonesian ('Terima kasih telah menonton!'), indicating a bilingual audience. There is a request for viewers to subscribe to the channel if they enjoyed the content. The visual content is minimal, showing a dark, possibly indoor setting with some indistinct shapes and objects, suggesting the focus is on the voice-over message rather than visual storytelling.",People & Blogs,"Thank you, subscribe, channel, videos, Terima kasih, menonton","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Positive,Neutral,No,
7368383778034601249,"The video appears to be a simple, repetitive scene featuring a static image of a person lying in bed. The audio consists of a repeated phrase 'Oh, you're in my bed,' suggesting a humorous or lighthearted context. The subtitles indicate a conversation between two individuals, with one asking what the other did all day ('Was hast du eigentlich den ganzen Tag gemacht?') and the response being 'Aufgeräumt' (cleaned up). The overall tone is casual and playful, likely intended for comedic effect.",Comedy,"bed, humor, repetition, cleaning, conversation, German","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Neutral,Cheerful,No,
7355525427160452385,"The video shows a person reacting to being pointed at by Beyoncé during a concert. The individual appears surprised and overwhelmed, covering their face with their hands in disbelief. The audio includes repeated lyrics 'She ain't no diva,' emphasizing the unexpected nature of the moment. The setting suggests a live performance with bright stage lighting and a crowd atmosphere.",Entertainment & Shows,"Beyoncé, concert, crowd, surprise, reaction, diva, stage, lighting","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Positive,Surprise,No,
7315533802409839914,"The video discusses a segment by Bill Maher, critiquing his portrayal of the situation in Bethlehem, occupied Palestine, where he claims the area is now predominantly Muslim due to Christian flight. The speaker argues that Maher overlooks the Israeli occupation and its impact on Christians, citing examples such as the destruction of churches, killings, and restrictions imposed by Israel. The segment is further analyzed for its Islamophobic undertones, with the speaker pointing out omissions regarding the historical context of Jewish migration to Israel and the role of Zionist forces. The video also addresses the myth of Muslims as the primary colonizers, contrasting it with the historical reality of European colonization and the spread of Islam through trade rather than conquest. The speaker concludes by emphasizing the importance of truth over entertainment in media discussions.",Politics,"Bill Maher, Islamophobia, Bethlehem, occupied Palestine, Christians, Israeli occupation, Zionism, Jewish migration, European colonization, Muslim expansion, historical context, truth, entertainment","Age Range: Unknown, Gender: Unknown, Geographic Location: Unknown",Negative,Anger,No,
7366011789085035809,"The video features a speech delivered in German, emphasizing pride in being part of a significant political party in Europe. The speaker expresses gratitude for decades of support and acknowledges the legacy left by a prominent figure, highlighting the importance of this legacy in shaping the future direction of the party and the nation. The speech underscores themes of unity, strength, and the role of the party in securing the prosperity and safety of Germany within a united Europe. The tone is formal and respectful, with a focus on national pride and collective responsibility.",Politics,"German, politics, party, Europe, security, legacy, unity, strength, national pride, gratitude, leadership, future direction",Unknown,Positive,Enthusiastic,,No
