
==================================================
==== Processing Statistics ====
==================================================
Model: Qwen/Qwen2.5-VL-32B-Instruct
Model load time: 336.01s
Model GPU memory: 146.41 GB

--- Video Load Times ---
Video Load 1: 0.08s
Video Load 2: 0.05s
Video Load 3: 0.09s
Video Load 4: 0.05s
Video Load 5: 0.09s
Video Load 6: 0.05s
Video Load 7: 0.07s
Video Load 8: 0.21s
Video Load 9: 0.13s
Video Load 10: 0.06s
Video Load 11: 0.43s
Video Load 12: 0.10s
Video Load 13: 0.14s
Video Load 14: 0.04s
Video Load 15: 0.10s
Video Load 16: 0.34s
Video Load 17: 0.08s
Video Load 18: 0.13s
Video Load 19: 0.17s
Video Load 20: 0.21s
Video Load 21: 0.06s
Video Load 22: 0.06s
Video Load 23: 0.21s
Video Load 24: 0.15s
Video Load 25: 0.12s
Video Load 26: 0.10s
Video Load 27: 0.28s
Video Load 28: 0.24s
Video Load 29: 0.21s
Video Load 30: 0.20s
Video Load 31: 0.21s
Video Load 32: 0.13s
Video Load 33: 0.22s
Video Load 34: 0.10s
Video Load 35: 0.20s
Video Load 36: 0.04s
Video Load 37: 0.06s
Video Load 38: 0.05s
Video Load 39: 0.10s
Video Load 40: 0.07s
Video Load 41: 0.07s
Video Load 42: 0.11s
Video Load 43: 0.10s
Video Load 44: 0.07s
Video Load 45: 0.08s
Video Load 46: 0.15s
Video Load 47: 0.10s
Video Load 48: 0.05s
Video Load 49: 0.10s
Video Load 50: 0.14s
Video Load 51: 0.12s
Video Load 52: 0.14s
Video Load 53: 0.08s
Video Load 54: 0.27s
Video Load 55: 0.13s
Video Load 56: 0.08s
Video Load 57: 0.08s
Video Load 58: 0.26s
Video Load 59: 0.12s
Video Load 60: 0.19s
Video Load 61: 0.10s
Video Load 62: 0.04s
Video Load 63: 0.11s
Video Load 64: 0.07s
Video Load 65: 0.14s
Video Load 66: 0.05s
Video Load 67: 0.06s
Video Load 68: 0.04s
Video Load 69: 0.04s
Video Load 70: 0.09s
Video Load 71: 0.10s
Video Load 72: 0.06s
Video Load 73: 0.19s
Video Load 74: 0.03s
Video Load 75: 0.29s
Video Load 76: 0.11s
Video Load 77: 0.10s
Video Load 78: 0.08s
Video Load 79: 0.15s
Video Load 80: 0.27s
Video Load 81: 0.21s
Video Load 82: 0.04s
Video Load 83: 0.10s
Video Load 84: 0.08s
Video Load 85: 0.04s
Video Load 86: 0.07s
Video Load 87: 0.15s
Video Load 88: 0.05s
Video Load 89: 0.12s
Video Load 90: 0.19s
Video Load 91: 0.04s
Video Load 92: 0.09s
Video Load 93: 0.08s
Video Load 94: 0.17s
Video Load 95: 0.04s
Video Load 96: 0.15s
Video Load 97: 0.21s
Video Load 98: 0.11s
Video Load 99: 0.10s
Video Load 100: 0.10s
Video Load 101: 0.15s
Video Load 102: 0.34s
Video Load 103: 0.10s
Video Load 104: 0.18s
Video Load 105: 0.15s
Video Load 106: 0.11s
Video Load 107: 0.07s
Video Load 108: 0.04s
Video Load 109: 0.05s
Video Load 110: 0.08s
Video Load 111: 0.04s
Video Load 112: 0.05s
Video Load 113: 0.21s
Video Load 114: 0.06s
Video Load 115: 0.15s
Video Load 116: 0.14s
Video Load 117: 0.04s
Video Load 118: 0.06s
Video Load 119: 0.04s
Video Load 120: 0.07s
Video Load 121: 0.12s
Video Load 122: 0.19s
Video Load 123: 0.38s
Video Load 124: 0.24s
Video Load 125: 0.04s
Video Load 126: 0.07s
Video Load 127: 0.14s
Video Load 128: 0.07s
Video Load 129: 0.10s
Video Load 130: 0.10s
Video Load 131: 0.05s
